title,status,raw price,course_url,course_image_url,subtitle,instructor,instructor_image_url,instructor_bio,short_description,long_description,faqs,airtable duration string,school
Academind Pro,,$25/month,https://academind.teachable.com/p/academind-pro,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/34XBN7IVQuKI9dKTeuCN,"Get Instant And Unlimited Access To All Our Existing 45+ Courses, Future Courses And Course Updates!",,,,"Get instant & unlimited access to all our existing courses, future courses and course updates!","Academind offers the most comprehensive and up-to-date learning resources on Web Development.

From the very basics up to advanced topics and real projects - we got you covered! And we'll give you course completion certificates to prove your progress to others!30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and achieve their goals. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the package.","[{'When does the course start and finish?': 'You can dive into the courses immediately! It is completely self-paced - you decide when you start and when you finish.\nYou will have access to all courses as long as you have an active subscription.'}, {'What if I am unhappy with the subscription?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us via email in the first 30 days after your initial purchase and we will give you a full refund.'}, {'How often am I charged?': 'Our monthly and yearly memberships are subscriptions - you therefore will be charged every month (monthly membership) or every year (yearly membership).\nYou will be charged automatically unless you cancelled your subscription in your profile. If you cancel, you can still consume all materials until your current billing cycle (month or year) ends.'}, {'Can I cancel anytime?': 'Yes!\nYou can cancel your subscription anytime. If you do, you will not be charged again when the subscription would renew (i.e. after a month or a year). You will lose course access once your current billing cycle (month or year) ended.'}]",,Academind
Chatgpt - The Complete Guide,,$39,https://academind.teachable.com/p/chatgpt-the-complete-guide,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://cdn.filestackcontent.com/fKTcE19aQfKpR9s05HrS,10X Your Productivity By Using Chatgpt & Openai Apis Efficiently. Includes Prompt Templates & Hands-On Examples.,Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.",,"Unlock the power of AI and gain a huge productivity boost with our comprehensive online video course!

Are you ready to harness the incredible potential of ChatGPT? Look no further! Our course, ""ChatGPT - The Complete Guide to ChatGPT & OpenAI APIs"" is your all-in-one solution to mastering this revolutionary technology.Through this immersive, hands-on course, you'll discover:

All The Fundamentals: Dive into the world of ChatGPT, GPT models, and Large Language Models (LLMs). Learn the science and mechanics that drive these advanced AI systems.

Essential Skills: Master the ChatGPT interface, its key features, and how to craft both basic and complex prompts. Empower yourself with the tools needed to excel in the AI-driven landscape.

Prompt Engineering Mastery: Optimize your AI experience by learning basic and advanced prompt engineering techniques. Write efficient prompts that get you the precise results you're looking for.

Midjourney Introduction: Learn how to generate beautiful images with help of AI!

Real-World Applications: Explore the diverse use-cases for ChatGPT, from speeding up day-to-day tasks to conducting research, creating content (including blog posts, tweets, and more), writing and enhancing code. And much, much more!

App Creation Magic: Discover how ChatGPT can revolutionize your app and program development, even without programming knowledge. Unleash the power of AI to create innovative and powerful solutions.

Become a 10x Developer: Already got programming experience? Great! Learn how ChatGPT can help you speed up your day-to-day work. Use ChatGPT for development, debugging, refactoring and much more!

Insider Tips & Tricks: Gain access to our treasure trove of tips and tricks for working with ChatGPT. Maximize your efficiency and productivity with these expert insights.

Hands-on Examples & Exercises: Apply & practice what you learned by diving into real examples. Build websites, games, web APIs, blog posts & much more!

Prompt Templates: Use & fine-tune many included pre-built prompt templates to save valuable time and boost your productivity immediately!

OpenAI API Mastery: Learn how to work with OpenAI's APIs and leverage them to build your own AI-powered applications. Unleash the full potential of AI in your projects.

AutoGPT Automation: Master the use of tools like AutoGPT to build automated AI processes and workflows. Streamline your work and let AI do the heavy lifting.By enrolling in this course, you're taking the first step towards a future powered by AI. No matter your background or experience level, our course is designed to provide you with the knowledge and skills you need to thrive in this rapidly evolving landscape.

Don't miss this opportunity to become an AI pioneer! Enrol now, unlock your potential & transform your career today!

This course covers it all: ChatGPT-powered copywriting, blog post & article generation, email / email draft generation, text summaries via ChatGPT, translations, tone adjustments, social media post generation, code generation, code debugging, refactoring & much, much more!10+
hours



160
lessonsCourse Prerequisites

No prior ChatGPT, development or other knowledge is required!


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",11:45:31,Academind
Flutter & Dart - The Complete Guide 2023,,$39,https://academind.teachable.com/p/flutter-the-complete-guide-2023,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://cdn.filestackcontent.com/EwSAEKmRjKhnakJMLda5,A Complete Guide To The Flutter Sdk & Flutter Framework For Building Native Ios And Android Apps,Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.",A Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android apps,"Join the most comprehensive & bestselling Flutter course and learn how to build amazing iOS and Android apps!

Thanks to Flutter, you don't need to learn Android/ Java and iOS/ Swift to build real native mobile apps!

Because Flutter - a framework developed by Google - allows you to learn one language (Dart) and build beautiful native mobile apps in no time. Flutter is a SDK providing the tooling to compile Dart code into native code and also gives you a rich set of pre-built and pre-styled UI elements (so called widgets) which you can use to compose your user interfaces.

Because of its ease of use and flexibility, Flutter is an extremely popular solution for building native mobile apps for Android & iOS.This course will teach Flutter & Dart from scratch, NO prior knowledge of either of the two is required! And you certainly don't need any Android or iOS development experience since the whole idea behind Flutter is to only learn one language.

The course will start at the very basics and teach you Flutter & Dart step-by-step, from the ground up. You'll learn about all core concepts, the base Dart syntax and also many crucial advanced features - therefore, by the end of the course, you'll be able to build your own Flutter apps.

Of course, you'll learn Flutter not only in theory but by building multiple, realistic demo apps, allowing you to apply what you learned on real examples.

With Flutter, you'll be able to write code only once and ship your apps both to the Apple AppStore and Google Play.

You can use the rich widget suite Flutter provides to add common UI elements like buttons, switches, forms, toolbars, lists and more. Or you simply build your own widgets - Flutter makes that a breeze, too. This course covers it all!Here's what's included in the course:


Detailed setup instructions for both macOS and Windows
A thorough introduction to Flutter, Dart and the concept behind widgets
An overview of the built-in widgets and how you may add your own ones
Debugging tipps & tricks
Page navigation with tabs, side drawers and stack-based navigation
State management solutions
Handling and validating user input
Connecting your Flutter app to backend servers by sending HTTP requests
User authentication
Adding Google Maps
Using native device features like the camera
Adding beautiful animations & page transitions
Image upload
Push Notifications - manual approach and automated
And more!

This course is for you if ...


You're interested in building real native mobile apps for the two most popular mobile platforms - iOS and Android
You want to explore the full set of features Flutter offers
Don't want to spend hours learning two completely different languages

Course prerequisites:


Basic programming language knowledge will help but is not required
You DON'T need to know Flutter or Dart
You DON'T need to know iOS (Swift/ObjectiveC) or Android (Java)25+
hours



250+
lessonsCourse Prerequisites

Basic programming language will help but is not a must-have

You can use either Windows, macOS or Linux for Android app development - iOS apps can only be built on macOS though

You DON'T need to know Flutter or Dart

You DON'T need to know iOS (Swift/ObjectiveC) or Android (Java)


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",29:40:43,Academind
Cypress End-To-End Testing - Getting Started,,$39,https://academind.teachable.com/p/cypress-end-to-end-testing-getting-started,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://cdn.filestackcontent.com/5WfSUUZwS5StjIFfZRfl,"Learn How To Use Cypress To Design, Build And Run Powerful And Realistic End-To-End (E2E) Tests With Ease.",Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.",,"Automated testing is a vital part of modern application development. Of course, website development is no exception - you must be able to run automated tests to efficiently detect bugs and regressions.

This course teaches you how to write and run end-to-end (E2E) tests with Cypress - one of the most popular web development E2E testing tools can you can use these days!You will learn:


What exactly Cypress is and why E2E testing matters
How to install and use Cypress
How to write and run E2E tests with Cypress
How to simulate realistic website user flows by selecting elements and simulating user interaction (button clicks, keyboard typing & more)
How to write good assertions (and what assertions are)
Which core features and concepts Cypress offers
How to use basic and more advanced Cypress concepts
How to efficiently test third-party code
How to deal with network (HTTP) requests and databases
How to test user authentication flows
And much more!All these topics will be taught from the ground up, with no prior Cypress knowledge required! You do need basic web development and JavaScript knowledge though.

This course focuses on the core Cypress concepts and explores all basic as well as various more advanced Cypress features.

By the end of this course, you'll have a solid set of Cypress fundamentals and you'll be ready to dive deeper into Cypress and end-to-end testing!6+
hours



90+
lessonsCourse Prerequisites

Basic JavaScript knowledge is required

Basic web development knowledge is required (no specific framework)

NO prior Cypress knowledge is required


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",6:12:48,Academind
Remix.Js - The Practical Guide,,$39,https://academind.teachable.com/p/remix-js-the-practical-guide,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://cdn.filestackcontent.com/1s4C3ChRRKi6kGSQD8bZ,Learn How To Build Rich & Highly Reactive Fullstack React Applications With Remix.,Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.",,"Remix is a strongly growing React framework that (vastly!) simplifies the process of building rich, interactive fullstack React applications and websites.

With Remix, backend and frontend code work seamlessly together and as a developer, you don't have to worry about managing multiple, separated projects or codebases. Instead, you implement your backend logic next to your frontend code and let Remix handle the rest.In this course, you will learn how to build fullstack React.js applications and websites with Remix from the ground up. All key concepts are covered in-depth and taught step-by-step, slowing building up on each other. By the end of this course you will therefore be able to build your own Remix fullstack websites!

As part of this course, you will build two major demo projects, including an ""Expenses Management Website"" where users can signup, manage their expenses and view expense analytics. As part of this project, you will learn how to perform CRUD (Create, Read, Update, Delete) operations with Remix and how to connect your React app to a database.In general, in this course, the following concepts are covered in great detail:


What Remix is & how it works
Remix vs NextJS
Adding routes and pages
Working with nested routes
Managing (potentially nested) layouts
Combining pages with non-page components
Styling pages and components
Fetching data (also for nested pages)
Submitting data - via forms & programmatically
Handling data submissions on the backend
Storing data in databases & fetching data from databases
Validating user input
Authenticating users (signup & login)
Managing sessions via cookies
Optimizing Remix applications
Deploying Remix applications
And much more!8+
hours



100+
lessonsCourse Prerequisites

Basic React knowledge is required

NO prior Remix knowledge is required

NO advanced React knowledge is required


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",8:15:39,Academind
Github Actions - The Complete Guide,,$39,https://academind.teachable.com/p/github-actions-the-complete-guide,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://cdn.filestackcontent.com/anM42zKNQ8a7PYYPUg67,Learn How To Build Automated Ci / Cd Workflows With Github'S Devops Service.,Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.",,"GitHub Actions is an extremely popular and fast-growing CI / CD automation service offered by GitHub.

This course teaches GitHub Actions from the ground up, without any prior GitHub Actions experience assumed or required.

In order to handle growing development and code complexity and deploy application updates with high frequency, powerful automation platforms and tools are required. As you will learn throughout this course, GitHub Actions is such a platform, enabling you to automate anything from code testing, building and deployment all the way up to GitHub repository and project management.With this course, you'll learn:


About all key GitHub Actions building blocks & components
How to build and orchestrate both simple and complex workflows
How to connect workflows to events & configure event details
How to run jobs or job steps conditionally
How to manage environment variables
How to handle job results, outputs and inputs
How to leverage community actions
How to build custom actions
How to secure workflows and jobs
And much more!This course requires no prior GitHub Actions knowledge. You also don't need to be an advanced developer or Git & GitHub user, though fundamental development and Git knowledge is recommended - though the course does come with a Git & GitHub refresher module.

This course is a practice-oriented courses, exploring all key concepts whilst diving into concrete examples. You'll build different workflows for multiple projects and requirements.

You will also learn how to interact with GitHub APIs and implement third-party (and custom) Actions into your workflows.10+
hours



140+
lessonsCourse Prerequisites

Basic IT knowledge is required

NO prior Git or GitHub knowledge is necessary at all


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",9:58:02,Academind
Aws Cloud Practitioner (Clf-C01) | Complete Aws Introduction,,$39,https://academind.teachable.com/p/aws-cloud-practitioner-clf-c01-complete-aws-introduction,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://file-uploads.teachablecdn.com/31580d059e984761bdd0046a3595bce1/48aaf0c150454b33b5d44f123c3344e9,Get A Detailed Overview Of All Core Aws Services Needed To Pass The Certification Exam & Boost Your Cloud Career!,Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.",Learn how to write automated tests (unit &amp; integration tests) for your JavaScript projects with Vitest &amp; Jest.,"Amazon Web Services (AWS) is the leading cloud computing provider. It's used by hundreds of thousands of businesses all over the world, therefore having a basic understanding of its services can be a major career boost.

This course will teach you AWS from the ground up and provide a thorough overview of all its key services. By the end of the course, you will have a solid understanding of what AWS is, what its many services are all about (and what each service does) and which kind of service (or service combination) may be used to implement meet IT or application requirements.This course provides all the knowledge needed to pass the CLF-C01 Cloud Practitioner certification exam.

But the course even goes beyond the bare minimum of knowledge required for that exam. It's therefore the perfect starting point for your journey into the AWS cloud and also acts as a great refresher for people who've been away from AWS for some time and want to get a thorough overview of all key services again.

After taking this course, besides passing the Cloud Practitioner exam, you can use the gained knowledge to dive deeper into AWS and learn about concrete implementation examples for specific problems.For following along, you can create an AWS account but you don't have to - for passing the Cloud Practitioner exam and getting an overview of all key services, no practical (hands-on) experience with AWS is required.

As part of this course, you will learn:


What exactly AWS and cloud computing is
What key benefits of cloud computing are
How the global AWS infrastructure looks like & how you can benefit from it
What services like EC2, S3, RDS, DynamoDB, EBS, EFS, ECS, Lambda, VPC & many, many more are all about
What the differences between related services are
How multiple services can be combined to solve certain problems
How AWS customers can migrate to the cloud of implement a hybrid cloud solution
How to follow best practices when building for the cloud
How to best prepare for the Cloud Practitioner exam
And much more!

This course provides a thorough services overview and concise summaries for the individual services. You will get access to the more than 200 theory slides and you can go through the videos as often as needed (also to come back and refresh your knowledge).11+
hours



200+
lessonsCourse Prerequisites

Basic IT knowledge is required

NO prior AWS knowledge is necessary at all


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",11:53:22,Academind
Javascript Unit Testing - The Practical Guide,,$29,https://academind.teachable.com/p/javascript-unit-testing-the-practical-guide,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://file-uploads.teachablecdn.com/1f814d5bf0e54428859b8c20cf7721e1/deb491e413c54f6f9c29f43a311c0bf0,Learn How To Write Automated Tests (Unit & Integration Tests) For Your Javascript Projects With Vitest & Jest.,Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.",Learn how to write automated tests (unit & integration tests) for your JavaScript projects with Vitest & Jest.,"Automated testing is a key concept in modern (web) development.

Yet it is a concept that can be intimidating at first, hence many developers shy away from diving into testing and adding tests to their projects.

This course will teach you automated unit & integration testing with JavaScript from the ground up. You will learn how tests are written and added to your projects, what should (and should not) be tested and how you can test both simple as well as more complex code.

You will learn about the software and setup required to write automated tests and example projects will be provided as part of the course. It's a hands-on, practical course, hence you won't get stuck in theory - instead you'll be able to learn all key concepts at real examples.In the course, Vitest will be used as the main testing library & tool. It's a modern JavaScript test runner and assertion library that provides Jest compatibility. Hence what you'll learn in this course will help you no matter if you're working with Vitest or Jest. And the core concepts will apply, no matter which testing setup you're using at all!

As part of this course, typical testing problems will be defined and solved and common strategies like mocking or working with spies are taught in great detail. This course also does not focus on specific types of JavaScript projects - neither does it focus on any specific library or framework.

Instead, you'll learn how to automatically test your (vanilla) JavaScript code, no matter if it's a NodeJS or frontend project. The fundamentals you'll gain in this course will help you in all your future projects - backend (NodeJS) and frontend (vanilla JS, React, Vue, Angular) alike.

This course will provide you with an extremely solid foundation to build up on, such that you can start adding tests to all your JavaScript projects.In detail, this course will teach you:


What exactly ""testing"" or ""automated testing"" is (and why you need it)
What ""unit testing"" is specifically
Which tools you need to enable automated unit tests in your projects
How to write unit tests
How to get started with integration tests
How to formulate different expectations (assertions)
Which patterns to follow when writing tests
How to test asynchronous and synchronous code
How to deal with side effects with help of spies & mocks
How to apply all these concepts in real projects & examples5+
hours



80+
lessonsCourse Prerequisites

Basic JavaScript knowledge is required

NO prior testing knowledge is necessary at all


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",5:36:26,Academind
React Native - The Practical Guide,,$39,https://academind.teachable.com/p/react-native-the-practical-guide-2022-new,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://file-uploads.teachablecdn.com/470c52273d33499a91faac6cf8727fe1/08cd2023dfd241c8838312a7e75f6ba0,Use React Native And Your React Knowledge And Take Your Web Development Skills To Build Native Ios And Android Apps,Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.",Use React Native and your React knowledge and take your web development skills to build native iOS and Android Apps,"Join this bestselling React Native course to learn how to build native mobile apps for iOS and Android with React & JavaScript!

Mobile apps are one of the best ways to engage with users - no wonder everyone wants to build one!

Wouldn't it be great if you could use your web development knowledge, combined with your React knowledge, to build mobile apps with that?

That's exactly what React Native allows you to do!

No need to learn Java, Android, Swift, ObjectiveC or anything of that - React and JavaScript is all you need to create awesome native mobile apps that work on both Android and iOS. That's probably the reason why Instagram, AirBnB, Skype and many other global companies are using it to build their mobile apps!With this course, you can join this league. I'll teach you all you need to create your own React Native apps, publish them to the Google Play Store and Apple App Store and dive really deep into the React Native ecosystem.

You'll learn all about the theory behind React Native, its core concepts, how to build responsive designs that work on different device sizes, how to animate React Native apps, how to navigate around, use maps and the camera and so much more!

And which better way to learn than by building a real app? We'll build the ""Awesome Places"" app in this course, an app where users can share amazing pictures and the location where they took them. This app will allow you to see things like using maps, the camera, user authentication, connecting to a server and much more in action.

By the end of the course, we'll of course also go through all steps required to get it into an app store.Here's a detailed look at what you'll get:


The core concepts and theory
How to use React, JavaScript and native components
Understand how to navigate in React Native apps
A closer look at styling and animating React Native apps
Instructions on how to use third-party libraries in your React Native app
Detailed examples on how to use maps or an image picker
A full user authentication flow
How to connect to a backend server from your app
Debugging instructions
And so much more!

Who this course is for:



Anyone who wants to use React to build native mobile apps
Every mobile developer who wishes to learn only one language to write cross-platform mobile apps
Every mobile or web developer who's interested in writing high-performance native apps with JavaScript27+
hours



200+
lessonsCourse Prerequisites

React knowledge is a must (but you absolutely DON'T have to be an expert)

JavaScript knowledge is a must, next-gen JavaScript knowledge (i.e. ES6+) is recommended

NO Android/ Java or iOS (Swift, ObjectiveC) development experience is required


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",27:54:43,Academind
"Sql - The Complete Guide (Mysql, Postgresql & More)",,$39,https://academind.teachable.com/p/sql-the-complete-guide-mysql-postgresql-more,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/ecjWWwZtRfSZna5D6LUD,"From Data Definition To Manipulation (Crud, Relations, Join): Learn Sql For Mysql, Postgresql & More From The Ground Up!",Maximilian Schwarzmüller,https://www.filepicker.io/api/file/TBHtUzkDTCykklB8apdG,"As a self-taught professional I really know the hard parts and the difficult topics when learning new or improving on already-known languages. This background and experience enable me to focus on the most relevant key concepts and topics. My track record of many 5-star rated courses, more than 1,500,000 students worldwide as well as a successful YouTube channel is the best proof for that.","From data definition to manipulation (CRUD, relations, JOIN): Learn SQL for MySQL, Postgresql &amp; more from the ground up!","SQL is THE most important query language you can learn!

It's used by many popular database management systems like MySQL or PostgreSQL. But it's also used by data analysis and big data frameworks and tools like Apache Spark.

Hence knowing SQL opens up an endless amount of opportunities and jobs - no matter if you're going to work with relational databases or if you're becoming a data scientist, knowing SQL will be key!This course teaches you SQL from the ground up and in extremely high detail! In addition, this course comes with two main paths that you can take:


The ""Complete Course"" path where you go through the entire course, step by step, learning about ALL the key features and concepts you have to know
The ""Quick Summary"" path where you can learn the key SQL essentials within a few hours

Both paths are included in this course (i.e. with one single purchase) and you can switch between them or take both - simply as it makes most sense for you! Dive into the free first course section to learn all about this course and these two paths (and how to take them).

SQL is a standardized language and therefore learning SQL will help you apply it in all kinds of contexts. Nonetheless, different database systems also support different aspects of SQL or bring their own variations of the SQL language. Therefore, this course dives into SQL by exploring all key features at the example of the two most popular database systems: MySQL and PostgreSQL. All query and command examples are shown for both database systems, ensuring that you feel comfortable working with SQL in either environment!This course will enable you to write your own (simple or complex) SQL queries, create basic or advanced database and table structures and work with data of different shape and complexity!

In detail, you will learn:


What exactly SQL is and how the core syntax looks like
How to write SQL commands
How to install MySQL & PostgreSQL as well as various clients
How to create and structure database tables
Which data types you may use and when to use which data type
How to perform CRUD operations: Create, Read, Update & Delete Data
How to insert data into tables
How to query and filter data
Why you should split data across multiple tables (and how to do that)
How to join (merge) data into combined result sets
How to write basic and more complex queries
How to aggregate and group data
How to use built-in database functions to work with numbers, text or dates
How to optimize databases with indexes
And much, much more!

Explore the full course curriculum to get a thorough overview of the course content and watch the free preview section to learn how this course will help you!

This course also comes with a 30 day refund period, so that you can try it risk-free :)

We'd love to welcome you on board of this course and explore SQL together with you!20+
hours



200+
lessonsCourse Prerequisites

NO prior SQL knowledge is required! We'll start from scratch!

You only need a computer or Mac to get started


All pre-requisites are covered by courses in our ""Academind Pro"" Membership.30 Day Money Back Guarantee - No Questions Asked!

Our courses helped thousands of students learn something new and improve their lives. 

We're so convinced by our course quality that we guarantee your success and provide a full refund within the first 30 days if you're not happy with the course.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",19:14:42,Academind
