title,status,school,raw price,course_url,course_image_url,subtitle,instructor,instructor_image_url,instructor_bio,short_description,long_description,faqs,airtable duration string
Seiza (Quiet-Sitting) Meditation By Rev. Miki Nakura,,American Buddhist Study Center,FREE,https://abscenter.teachable.com/p/seiza-sit-still-meditation-by-rev-miki-nakura,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/mRuVvMvTSmUCMzqTh7nh,Sitting In Stillness Seiza Meditation; Torajiro Okada Method,Rev. Miki Nakura,https://www.filepicker.io/api/file/std8Zsz0RKCvUTNStLLw,"Rev. Miki Nakura, of Higashi Hongan-ji temple in Kyoto, and the Jodo-Shinshu Shin Buddhist New York Sangha",Sitting in Stillness SEIZA meditation: Torajiro Okada method to calm your mind. This remote learning class help you to be connected.,""" The aim of seiza is to do seiza. Don't think of result. "" - Torajiro Okada (1906)

This course was filmed one of Rev. Miki Nakura's SEIZA meditation class at American Buddhist Study Center and edited by our volunteer crew.

We are still editing a 10 mins, 20 mins, 30 mins meditation for you to practice this method at home. Meanwhile, please educate yourself by reading The Life & Times of OKADA, TORAJIRO and his seiza approach to self-harmonization by Joshua Shapiro.

Dana (Donations) are greatly appreciated","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",56:32:00
An Introduction To Mindfulness – Free,,Barry Winbolt Online,FREE,https://barry-winbolt.teachable.com/p/easy-mindfulness,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/UrGwHSF5QqCo46d9too4,Experience Mindfulness In Three Lessons,Barry Winbolt Msc.,https://www.filepicker.io/api/file/dV7UCwyCQViTxgYuA9zg,"I'm a psychologist, therapist and trainer. I've built my career around sharing information which helps people sort out the things that trouble them. Hence my strapline ""Life doesn't have to be like that"".",Learn meditation with three easy steps,"Mindfulness is a simplified form of meditation. It uses the basic human ability to become fully aware of our experience, as it happens.

It can help you understand and control your moods and emotions, rather being overwhelmed by them, and remain calmer, more productive, and clear-headed.

Regular mindfulness practice takes only a fraction of your time. Starting with just 10 minutes a day you can develop your natural abilities into life-enhancing habits.



What you'll learn in this course

The brief course on Mindfulness will give you an overview of the topic. 

It will help you to understand what mindfulness is, to explain some of the main benefits and to help you decide whether you would like to learn how to use the techniques of mindfulness to transform your life.

It will also give you a quick access method so that you can experience mindfulness for yourself, first hand.

When you have completed the course you'll be able to review your new knowledge. There's even a self-test to see how mindfulness could fit into your life, and some of the powerful and positive effects it could have on you.

What you get with this free course:


Three concise lessons to show you how to prepare for, perfect and mindfulness meditation
A quiz to enable you to review your understanding of the topic having completed the course
Now you have a more solid understanding of mindfulness, there's a self-test to help you decide how you could benefit by integrating mindfulness into your daily life
Q&A: If you want more information at any point during the course, you can post a question, the instructor will respond, generally within a few hours.","[{""What's the catch? Why is the course free?"": ""There's no catch. I make a policy of offering some of my courses free because I want to reach as many people as possible with practical information which I know is beneficial. My free courses are offered in this vein.""}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What support is offered with this course?': 'I am always available to respond to questions and comments about my courses. This includes providing guidance is you need help with any particular point. This is true for free and paid courses, just as with my blog and enquiries via my website.'}, {""There are loads of courses out there, I'm finding it hard to choose."": ""That'strue of most things these days. It's great to have a choice, but too much of it gets confusing. That's one of the reasons that this course is free, so that you can check the quality without financial cost. All it takes is a few minutes of your time.""}]",29:44:00
Big Heart Meditation Club,,Big Heart Meditation Society with David Harshada Wagner,3 day free trial then $9.99/month,https://live-true.teachable.com/p/bigheart-meditation,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/ddChT0aQHmcImSiLagNv,Guided Meditations With David Harshada Wagner,David Harshada Wagner,https://www.filepicker.io/api/file/9Fxt8YrnQHvoGf6UsKqW,"David Harshada Wagner has been teaching meditation and practical spirituality to all kinds of people since 1992. He has been classically trained in the Indian wisdom traditions of Vedanta, Yoga, Bhakti, and Tantric Shaivism, and works as a creative mindset consultant and sacred life strategist for people from all walks of life. To his close friends and students, he is known as Harshada - a Sanskrit name given to him by Gurumayi Chidvilasananda in 1996. He is the author of On the Field of Dharma - a modern practical application of the Bhagavad Gita, and is the founder of Big Heart Meditation.",Guided Meditations with David Harshada Wagner,"The Big Heart Meditation Club is an online place for you to find guided meditations and meditation teachings from David Harshada Wagner. We have many kinds of meditations of different lengths and different levels of intensity. Relax, renew, and realize your truest, deepest potential... or just get a good night's sleep with the help of David's meditations. David's meditations are very practical and easy to follow and his style is super lighthearted and even playful, but his work is based in the most classical teachings and techniques. David is a senior teacher with decades of experience of leading people from all walks of life deep into the heart of meditation.

Club members have unlimited access to the whole catalog and can even make special requests for new meditations. 

New meditations will be added to the catalog every week and each month David will offer an exclusive video ""meditation nerd"" workshop where he delves into various traditional teachings and practices from the Indian scriptures.

This is a club you DEFINITELY want to join.",,2:31
Planting The Seeds Of Success,,Darren Main,FREE,https://darren-main.teachable.com/p/the-seeds-of-success,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/tbUbFuCpRAmwFMsOo6wu,Business Planning For Yoga Teachers,Darren Main,https://www.filepicker.io/api/file/VdUjwCtuQ0KMi7ITKhA8,"Darren Main is a yoga and meditation instructor, business coach and the author of The Yogi Entrepreneur: A Guide to Earning a Mindful Living Through Yoga.",Business Planning for Yoga Teachers,"You worked hard to train as a yoga teacher and you are excited to share your teaching with the world. But coming up with a business plan for doing that can feel overwhelming. 

Where should you begin and how can you focus on the tools that will rapidly grow a following?

In this week-long course, we will cover a different facet of the business of yoga each day to help you craft a manageable yet high effective business plan that is every bit as unique as your teaching style. You will about branding, social media, websites and so much more. Best of all, the course is free for yoga teachers and teachers in training.","[{'When does the course begin and end?': 'Because this is a video course, it will begin as soon as you register. You will receive a video lesson each day for a week via email.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if want to do a deeper dive into my business?': 'For many this course may be enough to kick start your business, but if if you want to go deeper, Darren offers other video courses, books and coaching.'}]",1:17:56
L O V E M A X I M S,,Divine Dakini Devi,FREE,https://divine-dakini-devi.teachable.com/p/l-o-v-e-m-a-x-i-m-s,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/gWK6PqxQEG281syhfN9n,A 30-Day Meditation On Loving,Devi,https://www.filepicker.io/api/file/ZVfDUqTuYiJORr3vwg4A,"As a world-class Dakini & Yogini, I have traveled around the globe as aspiritual guide to festivals, events and retreats, sharing the beauty ofawakened, blissful living. My expertise is Kundalini Energy, Yoga, and Tantra Sacred Sexuality.",A  30-day meditation of loving. This is a little book of big love. It is to be contemplated on with one passage each day for thirty consecutive,A  30-day meditation of loving. This is a little book of big love. It is to be contemplated on with one passage each day for thirty consecutive,"[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",
Guide To Marcus Aurelius And Stoicism,,Donald Robertson,FREE,https://robertson-training.teachable.com/p/guide-marcus-aurelius-stoicism,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://file-uploads.teachablecdn.com/861007c1920e47af9a5b33117fdd3de1/b1939f7778f1461b9ae50f71064766a8,Download My 21-Page Pdf Study Guide To The Life And Philosophy Of The Roman Emperor,Donald Robertson,https://www.filepicker.io/api/file/8aREKkUyQD6kngh5tdhd,"Donald is a trainer and writer, with decades of experience. He’s a specialist in teaching evidence-based psychological skills, and known as an expert on the relationship between modern cognitive-behavioural therapy (CBT) and classical Greek and Roman philosophy. He was born in Scotland but worked as a psychotherapist for many years in London, England, where he ran a training school for therapists, before emigrating to Canada to focus on his writing and developing eLearning courses. He now lives part-time in Athens, Greece.",Download my 21-Page PDF study guide to the life and philosophy of the Roman Emperor,"Please feel free to download and share with your friends. This is an unique 21-page PDF book called A Guide to Marcus Aurelius and Stoicism. It was written by me, Donald Robertson, with stunning artwork by award-winning illustrator Zé Nuno Fraga, and beautiful graphic design by Rocio de Torres.

People often ask for a simple introduction to the life and philosophy of Marcus Aurelius, so we created one especially for you! This booklet draws on research conducted for several books I've written or edited about Marcus Aurelius and Stoicism.


How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius (St. Martins)
Verissimus: The Stoic Philosophy of Marcus Aurelius (St. Martins)
Marcus Aurelius: Ancient Lives (Yale)
Meditations: The Philosophy Classic (Capstone)

This printable PDF document will give you a good overview of the life of Marcus Aurelius, the times in which he lived and characters who influenced him, as well as the Stoic concepts and practices that shaped his life. As well as key information on Marcus Aurelius and Stoic philosophy, it contains comic book illustrations, genealogical diagrams, study questions, important quotations, and recommended reading.

 If you're a teacher, we're confident you'll find this booklet useful as a classroom aid. If you're just interested in learning more about Marcus Aurelius and Stoicism, it's a great place to begin before starting to read the classics. Once you're registered on this site, we'll also be able to email you if we make any revisions to improve the content.

Contents

The Stoic Goal of Life
Three Stoic Practices
Who were the Stoics?
Who was Marcus Aurelius?
The Imperial Succession
Marcus’ Friends
Marcus’ Enemies
Questions, Quotes, and Reading
About the Graphic Novel

 If you're completely new to Stoicism, it's a good place to start. However, we can't compress the whole philosophy into a few pages, it's just a summary, so you will need to read the Stoics to gain a more complete understanding of their concepts and techniques.




Terms & Conditions: By enrolling on this course, you give us permission to send you our email newsletter with information on Stoicism and related subjects. You can opt-out at any time, if you want, by hitting the unsubscribe link.",[{'Can I share the PDF?': 'Yes. Please see the Creative Commons license. You can share as long as you correctly attribute the ownership. This is free resource for everyone to share and benefit from.'}],
Verissimus Graphic Novel Freebie Bundle,,Donald Robertson,FREE,https://robertson-training.teachable.com/p/verissimus,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/JYZ2xoGORhK8D9GunJq3,Claim Your Free Stuff And Get Updates On The Graphic Novel,Donald Robertson,https://www.filepicker.io/api/file/8aREKkUyQD6kngh5tdhd,"Donald is a trainer and writer, with decades of experience. He’s a specialist in teaching evidence-based psychological skills, and known as an expert on the relationship between modern cognitive-behavioural therapy (CBT) and classical Greek and Roman philosophy. He was born in Scotland but worked as a psychotherapist for many years in London, England, where he ran a training school for therapists, before emigrating to Canada to focus on his writing and developing eLearning courses. He now lives part-time in Athens, Greece.",Claim your free stuff and get updates on the graphic novel,"Coming soon! Verissimus: The Stoic Philosophy of Marcus Aurelius is a forthcoming graphic novel from author Donald Robertson, with stunning artwork from award-winning illustrator Zé Nuno Fraga, due for publication by St. Martin's Press. It tells the story of Marcus Aurelius, based on the surviving Roman histories, and interweaves Stoic philosophy from his personal notes The Meditations.

Register for this freebie bundle, to get immediate access to exclusive content, including videos, articles, audio, and downloads. You'll also receive updates on the release of the graphic novel and notifications of special offers.

You can also follow Donald's profile pages on Amazon or Goodreads, or our Verissimus Facebook page for updates.",,39:46:00
The Meditations Email Course,,Donald Robertson,FREE,https://robertson-training.teachable.com/p/meditations,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/7LmuHZBVR6mHpO4V6xxJ,The Meditations Of Marcus Aurelius With Commentary By Cognitive Therapist And Author Donald Robertson,Donald Robertson,https://www.filepicker.io/api/file/8aREKkUyQD6kngh5tdhd,"Donald is a trainer and writer, with decades of experience. He’s a specialist in teaching evidence-based psychological skills, and known as an expert on the relationship between modern cognitive-behavioural therapy (CBT) and classical Greek and Roman philosophy. He was born in Scotland but worked as a psychotherapist for many years in London, England, where he ran a training school for therapists, before emigrating to Canada to focus on his writing and developing eLearning courses. He now lives part-time in Athens, Greece.",The Meditations of Marcus Aurelius with Commentary by cognitive therapist and author Donald Robertson,"Are you interested in learning more about the Stoic philosophy of Marcus Aurelius?  This open-ended email course begins with book two of The Meditations. (We'll cover book one last, after reaching the end.) Each week you'll receive an email containing a passage from the classic George Long translation with additional commentary underneath to help you obtain greater enjoyment and understanding from the text.

This is the ideal way to learn about the Stoicism of Marcus Aurelius if you're new to the subject or to deepen your existing knowledge if you're already familiar with The Meditations.

Bonus. Enroll now to gain free access to the following bundle of additional materials:



The Meditations of Marcus Aurelius (George Long trans.) eBook

The Eulogium on Marcus Aurelius eBook

Marcus Aurelius in the Roman Histories eBook
Marcus Aurelius HD Wallpapers

Donald Robertson is the author of six books on philosophy and psychotherapy, including the forthcoming How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius. You'll be learning about Stoicism from someone who's spent nearly twenty years studying the subject.","[{'When does the course start and finish?': 'The course starts when you enroll and continues until we finish going through The Meditations.'}, {'How do I access the course?': ""You'll receive weekly emails in your mailbox. (Remember to add the email [email\xa0protected] to your safe-sender list and/or contacts to ensure they don't go in your spam filter.)""}, {'What if I want to leave the course?': ""That's very easy. You can just click the unsubscribe link at the bottom of any email. However, I'd advise you to read at least 2-3 of the emails first as I'm sure you'll find them worthwhile.""}, {'Who is this course suitable for?': ""Everyone. As long as you're interested in Marcus Aurelius or Stoicism you'll find this course valuable and interesting. It's suitable for complete beginners but more advanced students will also gain deeper insight into the text. That's one of the benefits of this approach.""}, {'What translation are you using?': ""We're going to be using the George Long translation, which is now in the public domain, and although an older translation is one of the most loved and widely-quoted editions of The Meditations.""}]",
Crash Course In Stoicism,,Donald Robertson,FREE,https://robertson-training.teachable.com/p/stoicism-in-five-minutes,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/D7NMA919R6yL4fiv9Hro,Your Free Ten-Minute Introduction To Stoic Philosophy And Its Application To Modern Living,Donald Robertson,https://www.filepicker.io/api/file/8aREKkUyQD6kngh5tdhd,"Donald is a trainer and writer, with decades of experience. He’s a specialist in teaching evidence-based psychological skills, and known as an expert on the relationship between modern cognitive-behavioural therapy (CBT) and classical Greek and Roman philosophy. He was born in Scotland but worked as a psychotherapist for many years in London, England, where he ran a training school for therapists, before emigrating to Canada to focus on his writing and developing eLearning courses. He now lives part-time in Athens, Greece.",Your free ten-minute introduction to Stoic philosophy and its application to modern living,"Are you ready to begin? Just hit the enrol button above. This is a lightning introduction to Stoic philosophy, which will take you just ten minutes to complete. If you want to quick overview of Stoicism, this is definitely the best place to start. You'll also get some surprise bonus resources including famous quotes, excerpts from the Stoic Handbook, recommended reading lists, a quick quiz to consolidate your learning, and other information to get your studies started. I've deliberately made this as short and sweet as possible because it's a ""crash course"" – a starting point. I'll direct you toward other resources if you want to learn more, which I assume you probably will. Update: Over 3,400 people have enrolled on this course since it was launched on 7th July 2017.

Goal: To develop an understanding of what Stoic philosophy is and how it can be helpful in modern life.

Duration: Less than 10 minutes

Price: Completely free of charge. (Estimated value $49.)

Start: Enrolling right now! (Continuous intake.)

Learning Objectives

To know what Stoic philosophy is
To be able to identify some of the key figures in the history of Stoicism
To understand two of the main Stoic psychological techniques and their benefits

You can preview the table of contents in the Class Curriculum section below.

Testimonials

Here's some feedback kindly offered by students who have already completed this course:

This is both fun and beneficial. Can we put it in every congressman's mailbox?T Petrocci

This was a valuable intro, full of resources I'm excited to dig into. Thank you. Dee Marsh

Enlightening, lucid, to the point and life affirming. Lorne Stormont Darling

Thank you for this course. It really piqued my interest in Stoicism and provides great resources for learning more. Paul LaFleur

This is a great introduction to Stoicism by Donald Robertson. I recommend reading his books Stoicism and The Art of Happiness and The Philosophy of Cognitive Behavioural Therapy. Both of these books have helped me develop Stoicism as a philosophy for a better way of living and have inspired me to study CBT as a career path. Mark Husher

Thank you Donald for this free course which is a short but very comprehensive introduction to Stoicism. Familiarising myself with The Meditations by Marcus Aurelius and focusing on meaningful passages was the start of my Stoic journey a few years ago. Having experience of your SMRT course on two previous occasions I can highly recommend them. Alison McCone

I found this course an interesting and easy to understand introduction to the study of Stoicism. It has given me a taste to learn more. Thanks.Colin Conway

Donald! This is a wonderful and wonderfully compact introduction to Stoic philosophy. In such a short time, I feel that many users will find that a lot of the common misconceptions that people have about Stoic philosophy as opposed to stoicism with a small S will be readily addressed, and they will come away with the foundation for further exploration and discussion. Thank you for making this available to people free of charge. I will be recommending this to friends of mine who are curious to see what this is all about.
Ronald William Brady

Amazing! I always wondered what Stoicism was all about. This is a crash course! Thanks a lot, Donald! Stay blessed.Nuruddin Abjani


Terms & Conditions: By enrolling on this course, you give us permission to send you our email newsletter with information on Stoicism and related subjects. You can opt-out at any time, if you want, by hitting the unsubscribe link.","[{'When does the course start and finish?': 'The course starts now and never ends! It is a completely self-paced online course - you decide when you start and when you finish.'}, {'How long do I have access to the course?': 'How does lifetime access sound? After enrolling, you have unlimited access to this course for as long as you like - across any and all devices you own.'}, {'What if I am unhappy with the course?': 'We would never want you to be unhappy! If you are unsatisfied with your purchase, contact us in the first 30 days and we will give you a full refund.'}]",13:13
Stoic Therapy Toolkit,,Donald Robertson,FREE,https://robertson-training.teachable.com/p/stoic-therapy-toolkit,https://process.fs.teachablecdn.com/ADNupMnWyR7kCWRvm76Laz/resize=width:705/https://www.filepicker.io/api/file/VHjZprq1TReFXI9g7cFc,Download My Five-Page Pdf Summarizing A Daily Routine Of Stoic Practices,Donald Robertson,https://www.filepicker.io/api/file/8aREKkUyQD6kngh5tdhd,"Donald is a trainer and writer, with decades of experience. He’s a specialist in teaching evidence-based psychological skills, and known as an expert on the relationship between modern cognitive-behavioural therapy (CBT) and classical Greek and Roman philosophy. He was born in Scotland but worked as a psychotherapist for many years in London, England, where he ran a training school for therapists, before emigrating to Canada to focus on his writing and developing eLearning courses. He now lives part-time in Athens, Greece.",Download my Five-Page PDF Summarizing a Daily Routine of Stoic Practices,"Please feel free to download and share with your friends. This is a five-page PDF guide, called the Stoic Therapy Toolkit, designed to help provide a neat summary of the most important Stoic psychological practices.

Very useful summary, I will carry it in my work bag! Camelia Vasilov

Excellent! Thank you for your tireless work in making this valuable philosophy so accessible in our busy world. Deborah L Gariepy

I've been asked many times for a Stoic ""cheat sheet"" or summary of key ideas and practical techniques. So I decided to create one based on my books on Stoicism: The Philosophy of CBT (2010), Build your Resilience (2012) and Stoicism and the Art of Happiness (2013). Thanks to all the individuals who provided feedback and suggestions based on the draft. We're confident now that this provides a good summary of key points, which most people will find beneficial.

Thanks, looks beautiful. Can't spare a tip but bought one of your books. :) Vince

Thank so much, Donald! It's awesome to see how hard you work – for all of us! Michael van der Galien

Thank you! Clear, concise, practical and actionable. No matter how busy or preoccupied one is (or has to be) during the day, store this kit in your memory, incorporate these quick contemplations, and the tools will adapt to any occasion! Gaelle1947

This printable PDF document will give you a good overview of Stoicism, and a reminder of daily practices. Many people contributed to the wording and Rocio de Torres, our graphic designer, has given it a new look. So we're confident you'll appreciate the end result and find it valuable as a guide to living like a Stoic. Once you're registered on this site, we'll also be able to email you if we make any revisions to improve the content.

Contents

Introduction
The Goal of Virtue
Daily Routine
Four Stoic Meditations
Therapy of the Passions

 If you're completely new to Stoicism, it's a good place to start. However, we can't compress the whole philosophy into a few pages, it's just a summary, so you will need to read the Stoics to gain a more complete understanding of their concepts and techniques.




Terms & Conditions: By enrolling on this course, you give us permission to send you our email newsletter with information on Stoicism and related subjects. You can opt-out at any time, if you want, by hitting the unsubscribe link.",[{'Can I share the PDF?': 'Yes. Please see the Creative Commons license. You can share as long as you correctly attribute the ownership. This is free resource for everyone to share and benefit from.'}],
